displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,power_weight_ratio,power_rpm,torque_rpm,bore_mm,stroke_mm,compression_ratio,rating,year,category,cooling,transmission,fuel_system,brand
,,,,110.2000,9.0000,956.0000,1489.0000,,,,88.0000,57.5000,13.7000,,,,Liquid,Chain,Injection,
,,43.0000,160.0000,,16.0000,839.0000,,,,6750.0000,,,,,,,Liquid,Chain,Injection,Brixton
124.2000,,11.2000,,124.0000,7.0000,905.0000,1430.0000,0.1210,,8000.0000,58.0000,47.0000,12.6000,,,Enduro / offroad,Liquid,Chain,Injection,
,,,,111.7000,9.0000,956.0000,1489.0000,,,,95.0000,72.0000,12.8000,,,,Liquid,Chain,Injection,GAS GAS
298.0000,,,,73.0000,1.8900,677.0000,1308.0000,,,,81.5000,57.2000,10.4000,,2025.0000,Trial,Liquid,Chain,Injection,
449.9000,,,,110.7000,9.0000,956.0000,1489.0000,,,,95.0000,63.4000,12.8000,,,Enduro / offroad,Liquid,Chain,Carburettor,
,,9.7000,,,6.0000,780.0000,1365.0000,,,5750.0000,52.0000,58.6000,9.2000,3.3000,,,Liquid,Belt,Injection,Aprilia
,,13.4000,90.0000,,6.0000,780.0000,1365.0000,,,5300.0000,58.0000,60.6000,8.8000,,,,Air,Belt,Injection,
124.0000,,11.0000,,,5.6800,775.0000,1143.0000,,,5500.0000,50.0000,63.1000,10.0000,,,Allround,Air,Chain,Injection,
997.0000,225.0000,,,175.0000,,851.0000,1461.0000,1.2857,,,94.0000,71.8000,,,2025.0000,Sport,Oil & air,Chain,Turbo,
,,,,,1.9000,650.0000,1326.0000,,,,78.0000,54.2000,10.5000,,,,Liquid,Chain,Injection,
510.9000,74.0000,73.5000,,116.4000,9.0000,956.0000,1489.0000,0.6357,8000.0000,6500.0000,95.0000,72.0000,12.8000,,2025.0000,Enduro / offroad,Liquid,Chain,Injection,
,,,,73.0000,7.1900,681.0000,1298.0000,,,,81.5000,57.2000,10.4000,,,,Liquid,Chain,Injection,
,,9.0000,81.0000,,3.4100,765.0000,1285.0000,,,5500.0000,55.0000,55.6000,9.5000,,,,Air,Belt,Carburettor,Honda
,,130.2000,,470.0000,26.8700,843.0000,1718.0000,0.2447,,7250.0000,84.0000,80.0000,,,,,Liquid,,Injection,Can-Am
,,,,102.3000,9.0000,956.0000,1489.0000,,,,66.4000,72.0000,,,,,Liquid,Chain,Injection,
,,130.2000,,452.0000,26.8700,843.0000,1718.0000,0.2544,,7250.0000,84.0000,80.0000,,,,,Liquid,,Injection,Can-Am
,,112.0000,,,20.4000,820.0000,1535.0000,,,5500.0000,92.0000,81.5000,10.5000,,,,Liquid,Chain,Injection,Honda
174.0000,,16.5000,,,9.0000,799.0000,1350.0000,,,7000.0000,61.5000,58.7000,9.2000,,,Scooter,Liquid,Belt,Injection,Aprilia
1330.0000,,130.2000,,470.0000,26.8700,843.0000,1718.0000,0.2447,,7250.0000,84.0000,80.0000,,,,Allround,Liquid,,Injection,
,,12.0000,,,9.0000,799.0000,1350.0000,,,6500.0000,52.0000,58.7000,9.2000,,,,Liquid,Belt,Injection,Aprilia
,,,,103.9000,9.0000,956.0000,1489.0000,,,,81.0000,48.5000,14.5000,,,,Liquid,Chain,Injection,
1084.0000,,112.0000,,,20.4000,820.0000,1535.0000,,,5500.0000,92.0000,81.5000,10.5000,,,Sport touring,Liquid,Chain,Injection,
,,12.0000,,,9.0000,799.0000,1350.0000,,,6500.0000,52.0000,58.7000,9.2000,,,,Liquid,Belt,Injection,
,,72.0000,128.8000,,,864.0000,1499.0000,,,4600.0000,,,,,,,Air,Chain,,
293.2000,,,,102.3000,9.0000,956.0000,1489.0000,,,,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,GAS GAS
1084.0000,100.6000,112.0000,,,20.4000,820.0000,1535.0000,,7500.0000,5500.0000,92.0000,81.5000,10.5000,,2025.0000,Sport touring,Liquid,Chain,Injection,
349.7000,,23.0000,,104.7000,9.0000,956.0000,1489.0000,,,,88.0000,57.5000,14.6000,,2025.0000,Enduro / offroad,Liquid,Chain,Injection,
124.5000,14.8000,12.0000,,,9.0000,799.0000,1350.0000,,8750.0000,6500.0000,52.0000,58.6000,9.2000,,2025.0000,Scooter,Liquid,Belt,Injection,
