displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,bore_mm,stroke_mm,compression_ratio,power_weight_ratio,power_rpm,category,cooling,transmission,fuel_system,brand,rating,year
450.0000,44.0000,,,126.1000,8.7100,909.0000,1499.0000,96.0000,62.1000,11.0000,0.3489,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
249.0000,,16.0000,120.0000,165.0000,13.5000,780.0000,1410.0000,55.0000,53.0000,9.3000,0.1016,,Classic,Air,Chain,Injection,,,
349.7000,58.0000,,,104.4000,8.5000,954.0000,1493.0000,88.0000,57.5000,11.1000,0.5556,,Enduro / offroad,Liquid,Chain,Injection,Husqvarna,,2025.0000
349.7000,58.0000,,,104.4000,8.5000,954.0000,1493.0000,88.0000,57.5000,11.1000,0.5556,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
249.6000,,22.5000,,117.0000,6.5000,950.0000,1530.0000,77.0000,53.6000,11.6000,0.2178,,Enduro / offroad,Liquid,Chain,Injection,,,
449.0000,46.9000,40.0000,,119.0000,11.0000,940.0000,1500.0000,94.5000,64.0000,10.8000,0.3945,9000.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
250.0000,16.8000,16.0000,120.0000,150.0000,15.0000,775.0000,1400.0000,55.0000,53.0000,9.3000,0.1117,8500.0000,Allround,Air,Chain,Injection,Cleveland,,2025.0000
1917.4000,104.0000,170.9000,,304.4000,18.9300,658.0000,1651.0000,102.0000,114.0000,10.3000,0.3417,4800.0000,Custom / cruiser,Air,Belt,Injection,,2.9000,2025.0000
1868.0000,,161.4000,,495.8000,22.7100,665.0000,1670.0000,102.0000,114.3000,10.5000,0.1815,,Custom / cruiser,Oil & air,Belt,Injection,,,
175.3000,,14.0000,110.0000,147.0000,10.0000,810.0000,1345.0000,64.0000,54.5000,11.0000,0.0755,,Naked bike,Air,Chain,Injection,,,
1923.0000,,173.6000,,314.8000,18.9000,686.0000,1615.0000,103.5000,114.3000,10.3000,0.3621,,Custom / cruiser,Air,Belt,Injection,Harley-Davidson,,
500.0000,47.6000,46.0000,160.0000,220.0000,21.5000,760.0000,1580.0000,69.0000,66.8000,11.5000,0.2164,8500.0000,Allround,Liquid,Chain,Injection,Benelli,,2025.0000
975.1000,91.0000,97.6000,,209.6000,11.7300,688.0000,1544.0000,97.0000,66.0000,12.1000,0.4342,7500.0000,Sport,Air,Belt,Injection,,,2025.0000
49.5000,,,,75.0000,5.0000,745.0000,1225.0000,40.0000,39.4000,,,,Scooter,Air,Belt,Carburettor,,,
125.0000,12.6000,10.0000,99.0000,137.0000,12.5000,800.0000,1370.0000,54.0000,54.5000,11.6000,0.0920,9500.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
124.1000,14.8000,,,145.0000,15.0000,780.0000,1390.0000,56.5000,49.5000,11.8000,0.1021,10800.0000,Sport,Liquid,Chain,Injection,Daelim,,2025.0000
1252.1000,,123.4000,,242.2000,21.2000,790.0000,1570.0000,104.9000,72.4000,13.0000,0.6151,,Super motard,Liquid,Chain,Injection,,,
124.8000,,,,100.0000,8.5000,952.0000,1489.0000,54.0000,54.5000,,,,Enduro / offroad,Liquid,Chain,Carburettor,Husqvarna,,
278.3000,,29.0000,,154.3000,11.0000,810.0000,1405.0000,,,,0.1555,,Allround,Liquid,Chain,Carburettor,,,
144.0000,,,,100.2000,8.5000,952.0000,1489.0000,58.0000,54.5000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
754.0000,,67.0000,190.0000,212.0000,15.0000,800.0000,1460.0000,88.0000,62.0000,11.5000,0.3542,,Naked bike,Liquid,Chain,Injection,,,
1252.1000,,126.1000,,220.9000,11.7300,734.0000,1519.0000,105.0000,72.3000,12.0000,0.5478,,Sport,Air,Belt,Injection,Harley-Davidson,,
293.2000,,,,107.0000,8.0000,952.0000,1489.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,Husqvarna,,
754.0000,80.5000,67.0000,190.0000,224.0000,15.0000,825.0000,1480.0000,88.0000,62.0000,11.5000,0.3592,9000.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
937.0000,110.0000,92.0000,,223.0000,21.0000,875.0000,1608.0000,94.0000,67.5000,13.3000,0.4933,9250.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
1917.4000,98.0000,162.7000,,286.2000,13.2000,655.0000,1630.0000,102.0000,114.3000,10.3000,0.3424,4600.0000,Custom / cruiser,Air,Belt,Injection,,,2025.0000
937.0000,,92.0000,,211.0000,21.0000,875.0000,1625.0000,94.0000,67.5000,13.3000,0.5213,,Enduro / offroad,Liquid,Chain,Injection,Ducati,,
500.0000,47.6000,46.0000,165.0000,213.0000,20.0000,860.0000,1505.0000,69.0000,66.8000,11.5000,0.2235,8500.0000,Allround,Liquid,Chain,Injection,,,2025.0000
296.0000,,,128.0000,172.0000,12.5000,740.0000,1435.0000,57.0000,48.8000,10.3000,0.1709,,Custom / cruiser,Liquid,Chain,Injection,,,
223.0000,19.2000,10.9000,,140.0000,12.0000,860.0000,1370.0000,63.5000,62.2000,9.2000,0.1370,7500.0000,Enduro / offroad,Air,Chain,Carburettor,,,2025.0000
698.0000,69.1000,70.0000,180.0000,222.0000,20.0000,830.0000,1505.0000,83.0000,64.5000,11.6000,0.3111,8000.0000,Allround,Liquid,Chain,Injection,Benelli,3.5000,2025.0000
249.0000,,,,103.5000,9.5000,930.0000,1482.0000,66.4000,72.0000,13.2000,,,Enduro / offroad,Liquid,Chain,Carburettor,Beta,,
150.0000,,,,158.8000,6.4300,,,,,,,,Scooter,Air,Belt,Carburettor,Ice Bear,,
937.0000,114.0000,96.0000,,175.0000,14.5000,890.0000,1498.0000,94.0000,67.5000,13.3000,0.6514,9000.0000,Super motard,Liquid,Chain,Injection,Ducati,,2025.0000
937.0000,,93.0000,,179.0000,14.0000,820.0000,1474.0000,94.0000,67.5000,13.3000,0.6201,,Naked bike,Liquid,Chain,Injection,,,
292.6000,,,,103.4000,9.5000,930.0000,1482.0000,73.0000,69.9000,11.6000,,,Enduro / offroad,Liquid,Chain,Carburettor,,,
349.1000,,,,107.5000,9.0000,940.0000,1490.0000,88.0000,57.4000,13.2000,,,Enduro / offroad,Liquid,Chain,Injection,Beta,,
1158.0000,170.0000,121.0000,,227.0000,29.9000,871.0000,1572.0000,83.0000,53.5000,14.0000,0.7489,10750.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
430.9000,,,,108.5000,9.0000,940.0000,1490.0000,95.0000,60.8000,12.3000,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
1103.0000,,118.0000,,225.0000,22.0000,840.0000,1592.0000,81.0000,53.5000,14.0000,0.8000,,Sport,Liquid,Chain,Injection,Ducati,,
477.5000,,,,108.5000,9.0000,940.0000,1490.0000,100.0000,60.8000,11.9000,,,Enduro / offroad,Liquid,Chain,Injection,Beta,,2025.0000
150.0000,1.9000,2.0000,48.3000,258.6000,6.2000,749.0000,1669.0000,38.4000,41.4000,10.5000,0.0073,5500.0000,Allround,Air,Chain,Carburettor,Ice Bear,,2025.0000
124.8000,,,,94.0000,9.5000,930.0000,1477.0000,54.0000,54.5000,15.2000,,,Enduro / offroad,Liquid,Chain,Carburettor,,,2025.0000
955.0000,,104.0000,,176.0000,17.0000,840.0000,1436.0000,100.0000,60.8000,12.5000,0.8807,,Sport,Liquid,Chain,Injection,,,
49.5000,,2.0000,48.3000,258.6000,4.5400,749.0000,1669.0000,38.4000,41.4000,10.5000,0.0073,,Allround,Air,Chain,Carburettor,,,
385.6000,,,,107.5000,9.0000,940.0000,1490.0000,88.0000,63.4000,12.5000,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
200.0000,,,90.0000,204.1000,6.3000,767.0000,1311.0000,,,,,,Scooter,Air,Belt,Injection,,,2025.0000
1250.0000,115.0000,111.0000,,240.0000,13.0000,680.0000,1562.0000,104.0000,73.6000,10.7000,0.4792,,Custom / cruiser,Liquid,Belt,Injection,Indian,,2025.0000
1250.0000,105.0000,111.2000,,237.0000,13.0000,649.0000,1562.0000,104.0000,73.6000,12.5000,0.4430,,Custom / cruiser,Liquid,Belt,Injection,,,2025.0000
803.0000,,66.2000,,173.0000,13.5000,795.0000,1445.0000,88.0000,66.0000,11.0000,0.4220,,Allround,Air,Chain,Injection,Ducati,,
1250.0000,,110.0000,,244.0000,13.0000,680.0000,1562.0000,104.0000,73.6000,12.5000,0.4303,,Custom / cruiser,Liquid,Belt,Injection,,,
1250.0000,,108.0000,,237.0000,13.0000,649.0000,1562.0000,104.0000,73.6000,12.5000,0.4430,,Custom / cruiser,Liquid,Belt,Injection,,,
1103.0000,,123.0000,,178.0000,16.5000,845.0000,1488.0000,81.0000,53.5000,14.0000,1.1685,,Naked bike,Liquid,Chain,Injection,,,
1250.0000,105.0000,111.2000,,237.0000,13.0000,680.0000,1562.0000,104.0000,73.6000,12.5000,0.4430,,Custom / cruiser,Liquid,Belt,Injection,,,2025.0000
937.0000,110.0000,93.0000,,184.0000,16.0000,810.0000,1478.0000,94.0000,67.5000,12.6000,0.5978,9000.0000,Sport,Liquid,Chain,Injection,,,2025.0000
350.0000,,35.0000,129.0000,197.0000,12.8000,775.0000,1560.0000,80.0000,69.5000,11.5000,0.1726,,Scooter,Liquid,Chain,Injection,,,
1250.0000,,111.2000,,239.0000,13.0000,680.0000,1562.0000,104.0000,73.6000,12.5000,0.4393,,Custom / cruiser,Liquid,Belt,Injection,Indian,,
200.0000,14.7000,14.0000,116.0000,130.0000,16.0000,780.0000,,,,,0.1131,7500.0000,Sport,Air,Chain,,Italika,,2025.0000
198.0000,,16.5000,,160.0000,14.0000,710.0000,1330.0000,65.5000,58.8000,11.0000,0.1048,,Custom / cruiser,Liquid,Chain,Carburettor,,,
125.0000,9.6000,8.3000,90.0000,108.0000,10.0000,,,,,9.2000,0.0889,9000.0000,Allround,Air,Chain,Carburettor,Izuka,,2025.0000
313.0000,34.0000,28.0000,141.6000,158.0000,10.9800,785.0000,1380.0000,80.0000,62.1000,10.9000,0.2152,9250.0000,Sport,Liquid,Chain,Injection,BMW,,2025.0000
445.0000,,,144.8000,149.7000,8.3300,813.0000,1346.0000,,,10.1000,0.2004,,Classic,Oil & air,Chain,Injection,,,
451.6000,,40.0000,,179.0000,11.0000,780.0000,1440.0000,84.0000,81.5000,11.5000,0.2206,,Allround,Liquid,Chain,Injection,Enfield,,
999.0000,,113.0000,304.2000,183.0000,16.5000,832.0000,1457.0000,80.0000,49.7000,13.5000,1.1203,,Sport,Liquid,Chain,Injection,BMW,,
999.0000,,113.0000,273.6000,210.9000,20.0600,848.0000,1547.0000,80.0000,49.7000,13.3000,0.9530,,Sport,Liquid,Chain,Injection,,3.7000,
49.0000,,,49.9000,83.0000,5.5000,735.0000,1210.0000,39.0000,41.5000,,0.0355,,Scooter,Air,Belt,Carburettor,,,
397.2000,,31.0000,115.0000,160.0000,12.5000,760.0000,1420.0000,85.0000,70.0000,8.8000,0.1676,,Custom / cruiser,Air,Chain,Carburettor,,,
401.0000,42.2000,34.0000,138.0000,185.0000,16.0000,770.0000,1395.0000,68.0000,55.2000,11.6000,0.2283,9500.0000,Naked bike,Liquid,Chain,,,,2025.0000
471.0000,42.2000,40.5000,170.0000,194.0000,18.0000,805.0000,1440.0000,67.0000,66.8000,10.7000,0.2177,8500.0000,Sport,Liquid,Chain,Carburettor,,,2025.0000
644.0000,,50.0000,150.0000,171.0000,12.5000,790.0000,1420.0000,100.0000,83.0000,8.3000,0.2306,,Classic,Oil & air,Chain,Injection,Jawa,,
124.0000,9.5000,9.5000,96.6000,126.0000,16.0000,780.0000,1330.0000,54.0000,54.0000,,0.0756,8500.0000,Allround,Air,Chain,Injection,,,2025.0000
124.7000,14.8000,11.2000,,129.0000,12.5000,810.0000,1355.0000,52.0000,58.7000,,0.1143,10250.0000,Naked bike,Liquid,Chain,Injection,,,2025.0000
278.0000,23.8000,26.0000,128.8000,158.0000,8.5000,790.0000,1375.0000,75.0000,63.0000,,0.1506,8250.0000,Scooter,Liquid,Belt,Injection,,,2025.0000
451.0000,,42.6000,,159.0000,14.0000,785.0000,1374.0000,70.0000,58.6000,11.3000,0.3208,,Sport,Liquid,Chain,Injection,Kawasaki,,
649.0000,59.9000,62.4000,,215.0000,14.0000,705.0000,1575.0000,83.0000,60.0000,10.8000,0.2788,7500.0000,Custom / cruiser,Liquid,Chain,Injection,,,2025.0000
271.3000,21.5000,22.0000,,112.4000,10.0000,925.0000,1425.0000,75.0000,61.4000,9.3000,0.1909,8500.0000,Enduro / offroad,Air,Chain,Carburettor,,,2025.0000
84.9000,,,,72.0000,6.0000,780.0000,,47.9000,47.0000,,,,Super motard,Liquid,Chain,Carburettor,,,
399.0000,,39.0000,,166.0000,15.1400,800.0000,1380.0000,57.0000,39.1000,12.3000,0.4605,,Sport,Liquid,Chain,Injection,,,
449.9000,,,,107.4000,8.5000,963.0000,1489.0000,95.0000,63.4000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
249.9000,,18.0000,,113.7000,10.0000,910.0000,1440.0000,72.0000,61.4000,9.3000,0.1651,,Enduro / offroad,Air,Chain,Carburettor,,,
49.7000,,,,83.0000,7.0000,850.0000,1350.0000,40.3000,39.0000,,,,Super motard,Liquid,Chain,Carburettor,Sherco,,
124.9000,11.4000,11.0000,125.0000,133.0000,8.0000,775.0000,1320.0000,,,11.0000,0.0857,8500.0000,Scooter,Liquid,Belt,Injection,Voge,,2025.0000
349.7000,,,,104.9000,8.5000,954.0000,1493.0000,88.0000,57.5000,14.6000,,,Enduro / offroad,Liquid,Chain,Injection,KTM,,2025.0000
451.0000,,42.6000,180.3000,154.0000,14.0000,785.0000,1375.0000,70.0000,58.6000,11.3000,0.2877,,Naked bike,Air,Chain,Injection,,,
249.9000,18.8000,18.0000,,115.5000,7.5000,925.0000,1455.0000,72.0000,61.4000,9.3000,0.1625,8500.0000,Enduro / offroad,Air,Chain,Carburettor,,,2025.0000
293.2000,,,,104.6000,9.0000,963.0000,1489.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
292.0000,,,128.0000,159.0000,15.0000,800.0000,1360.0000,,,,0.1771,,Naked bike,Air,Chain,Injection,Voge,,
449.3000,63.0000,,,108.8000,7.2000,898.0000,1472.0000,95.0000,63.4000,13.0000,0.5790,,Super motard,Liquid,Chain,Injection,,,2025.0000
349.7000,,,,104.2000,8.5000,954.0000,,88.0000,57.5000,14.6000,,,Enduro / offroad,Liquid,Chain,Injection,,,
350.0000,33.5000,,130.0000,205.0000,12.8000,775.0000,1565.0000,,,11.0000,0.1636,7500.0000,Enduro / offroad,Liquid,Belt,Injection,,,2025.0000
449.0000,,,,115.0000,7.5000,940.0000,,95.0000,63.4000,,,,Super motard,Liquid,Chain,Injection,TM Racing,,
49.9000,3.5000,3.2000,45.0000,85.0000,6.5000,760.0000,1256.0000,39.0000,41.4000,,0.0411,7700.0000,Scooter,Air,Belt,Injection,,,2025.0000
451.0000,,43.0000,,153.8000,14.0000,785.0000,1374.0000,70.0000,58.6000,11.3000,0.3317,,Sport,Liquid,Chain,Injection,Kawasaki,,
649.0000,,64.0000,,178.0000,15.0000,790.0000,1410.0000,83.0000,60.0000,10.8000,0.2938,,Sport,Liquid,Chain,Injection,Kawasaki,,
888.0000,108.0000,90.0000,196.0000,194.0000,20.0000,820.0000,1556.0000,78.0000,61.9000,13.0000,0.5567,9500.0000,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
649.0000,67.3000,64.0000,,173.0000,15.0000,790.0000,1410.0000,83.0000,60.0000,10.8000,0.3891,8000.0000,Naked bike,Liquid,Chain,Injection,Kawasaki,,2025.0000
449.9000,,,,107.7000,8.5000,963.0000,1489.0000,95.0000,63.4000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2025.0000
296.0000,,26.0000,,159.0000,17.0300,815.0000,1450.0000,62.0000,49.0000,10.6000,,,Allround,Liquid,Chain,Injection,,,2025.0000
660.0000,,63.7000,,190.1000,14.0000,805.0000,1401.0000,74.0000,51.1000,12.0000,0.4262,,Naked bike,Liquid,Chain,Injection,,,
293.2000,,,,104.6000,9.0000,963.0000,1489.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,KTM,,2025.0000
449.9000,,,,107.7000,8.5000,963.0000,1489.0000,95.0000,63.4000,12.7000,,,Enduro / offroad,Liquid,Chain,Injection,KTM,,2025.0000
49.7000,,,,83.0000,7.0000,850.0000,1350.0000,40.3000,39.0000,,,,Super motard,Liquid,Chain,Carburettor,,,2025.0000
2458.0000,,225.0000,,291.0000,18.0000,773.0000,1677.0000,110.2000,85.9000,10.8000,0.6254,,Custom / cruiser,Liquid,Shaft,Injection,Triumph,,
125.0000,,,97.0000,136.0000,7.8000,800.0000,1558.0000,,,11.0000,0.0838,,Scooter,Liquid,Belt,Injection,,,
249.6000,,23.7000,,114.0000,7.5000,950.0000,1488.0000,77.0000,53.6000,11.6000,0.2588,,Enduro / offroad,Liquid,Chain,Carburettor,,,
998.0000,,142.2000,,218.0000,17.0000,825.0000,1455.0000,76.0000,55.0000,8.5000,1.0989,,Sport,Liquid,Chain,Injection,,,
292.0000,28.2000,,128.0000,159.0000,15.0000,800.0000,1360.0000,,,,0.1771,8500.0000,Naked bike,Air,Chain,Injection,,,2025.0000
293.2000,,,,103.0000,9.5000,920.0000,,72.0000,72.0000,,,,Super motard,Liquid,Chain,Injection,,,2025.0000
888.0000,106.5000,90.0000,196.0000,201.0000,20.0000,860.0000,1551.0000,78.0000,61.9000,13.0000,0.5299,9500.0000,Enduro / offroad,Liquid,Chain,Injection,Triumph,,2025.0000
649.0000,67.0000,61.0000,,219.0000,21.0000,845.0000,1415.0000,83.0000,60.0000,10.8000,0.3059,8500.0000,Allround,Liquid,Chain,Injection,,,2025.0000
