displacement_ccm,power_hp,torque_nm,top_speed_kmh,dry_weight_kg,fuel_capacity_l,seat_height_mm,wheelbase_mm,bore_mm,stroke_mm,compression_ratio,power_weight_ratio,power_rpm,category,cooling,transmission,fuel_system,brand,rating,year
883.3000,51.0000,68.0000,,247.0000,12.5000,653.0000,1515.0000,76.2000,96.8000,9.0000,0.2065,6000.0000,Custom / cruiser,Air,Belt,Injection,,,2018.0000
249.3000,,,,105.0000,9.8000,960.0000,1480.0000,66.4000,72.0000,,,,Enduro / offroad,Liquid,Chain,Carburettor,,,
647.0000,,66.0000,180.0000,241.0000,16.0000,795.0000,1591.0000,79.0000,66.0000,11.6000,0.2490,,Scooter,Liquid,Chain,Injection,BMW,,
1745.0000,,155.0000,,296.0000,13.6000,710.0000,1690.0000,102.0000,114.3000,10.5000,0.3176,,Custom / cruiser,Air,Belt,Injection,,3.4000,
144.0000,,,,92.0000,10.0000,960.0000,1471.0000,58.0000,54.4000,,,,Enduro / offroad,Liquid,Chain,Carburettor,,3.6000,
937.0000,,96.2000,,205.7000,20.0000,840.0000,1594.0000,94.0000,67.5000,12.6000,0.5493,,Allround,Liquid,Chain,Injection,,3.9000,
229.5000,,18.3000,109.4000,123.8000,15.1400,660.0000,1290.0000,67.0000,65.0000,8.7000,0.1300,,Allround,Air,Chain,Injection,California Scooter,3.3000,
471.0000,,43.0000,175.0000,187.8000,11.1700,691.0000,1491.0000,67.0000,66.8000,10.7000,0.2556,,Custom / cruiser,Liquid,Chain,Carburettor,,,
1753.5000,,145.0000,,304.0000,18.9300,675.0000,1665.0000,100.0000,111.1000,10.0000,0.2829,,Custom / cruiser,Air,Belt,Injection,Harley-Davidson,3.7000,
1745.0000,86.0000,145.0000,,316.0000,18.9000,680.0000,1630.0000,98.4000,111.1000,9.7000,0.2722,5020.0000,Custom / cruiser,Air,Belt,Injection,,3.1000,2018.0000
1218.0000,,138.0000,,219.0000,17.0000,780.0000,1475.0000,68.2000,55.4000,12.5000,0.7443,,Naked bike,Liquid,Chain,Injection,Horex,,
1868.0000,94.0000,155.0000,,316.0000,18.9000,680.0000,1630.0000,100.0000,114.3000,10.5000,0.2975,5020.0000,Custom / cruiser,Air,Belt,Injection,Harley-Davidson,3.5000,2018.0000
600.0000,55.0000,58.0000,,135.0000,14.0000,830.0000,1423.0000,111.0000,65.0000,12.0000,0.4074,,Naked bike,Liquid,Chain,Injection,,,2018.0000
1103.0000,,133.6000,,174.0000,16.0000,830.0000,1464.0000,81.0000,53.5000,14.0000,1.2989,,Sport,Liquid,Chain,Injection,,2.7000,
124.0000,,,,134.0000,,,,,,,0.0831,,Enduro / offroad,Air,Chain,Injection,,,
1170.0000,125.0000,125.0000,200.0000,229.1000,30.0000,890.0000,1510.0000,101.0000,73.0000,12.5000,0.5457,7750.0000,Enduro / offroad,Liquid,Shaft,Injection,BMW,3.8000,2018.0000
249.0000,,,,105.2000,,960.0000,1482.0000,66.4000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,Husqvarna,,2018.0000
1170.0000,,116.0000,200.0000,220.0000,18.0000,820.0000,1522.0000,101.0000,73.0000,12.0000,0.5000,,Naked bike,Oil & air,Shaft,Injection,,3.5000,
1202.0000,,96.0000,,250.0000,12.5000,785.0000,1505.0000,88.9000,96.8000,10.0000,0.2680,,Naked bike,Air,Belt,Injection,,3.4000,
678.2000,,,180.0000,244.0000,17.0000,675.0000,1690.0000,81.5000,65.0000,11.5000,0.2582,,Custom / cruiser,Liquid,Belt,Injection,,,
299.3000,,,,105.0000,10.0000,960.0000,1480.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Carburettor,,2.9000,2018.0000
999.0000,165.0000,112.0000,200.0000,178.0000,20.0000,840.0000,1548.0000,80.0000,49.7000,12.0000,0.9270,11000.0000,Sport,Liquid,Chain,Injection,BMW,3.9000,2018.0000
491.6000,,40.0000,,206.4000,13.2500,653.0000,1534.0000,69.1000,66.0000,11.0000,,,Custom / cruiser,Liquid,Belt,Injection,,,2018.0000
180.0000,20.4000,17.1000,,122.0000,14.0000,770.0000,1320.0000,,,,0.1670,8500.0000,Naked bike,Liquid,Chain,Injection,,,2018.0000
449.3000,,,,110.0000,9.5000,927.0000,1475.0000,95.0000,63.4000,,0.5727,,Super motard,Liquid,Chain,Carburettor,,3.7000,
300.0000,,27.4000,,185.0000,16.0000,795.0000,1410.0000,57.4000,57.8000,12.0000,0.2054,,Naked bike,Liquid,Chain,Injection,,3.5000,
999.0000,,112.0000,200.0000,178.0000,20.0000,840.0000,1548.0000,80.0000,49.7000,12.0000,0.9270,,Sport,Liquid,Chain,Injection,BMW,4.0000,
600.0000,,58.0000,,135.0000,14.0000,830.0000,1423.0000,100.0000,76.5000,12.0000,0.4074,,Sport,Liquid,Chain,Injection,,,
399.3000,,35.0000,,160.0000,16.0000,740.0000,1405.0000,69.0000,53.4000,11.5000,0.2463,,Naked bike,Liquid,Chain,Injection,Benelli,,
1868.0000,94.0000,155.0000,,294.0000,13.2000,665.0000,1695.0000,102.0000,114.3000,15.0000,0.3197,5000.0000,Custom / cruiser,Air,Belt,Injection,,3.9000,2018.0000
249.9000,,,,108.3000,8.5000,970.0000,1482.0000,78.0000,52.3000,,,,Enduro / offroad,Liquid,Chain,Carburettor,,3.6000,
1218.0000,163.0000,138.0000,,224.0000,17.0000,780.0000,1475.0000,68.0000,55.0000,12.5000,0.7277,,Classic,Liquid,Chain,Turbo,,,2018.0000
999.0000,,113.0000,,179.5000,17.5000,815.0000,1438.0000,80.0000,49.7000,13.0000,1.1086,,Sport,Oil & air,Chain,Injection,BMW,3.2000,
175.1000,,13.9000,,122.0000,12.8000,775.0000,1325.0000,62.0000,58.0000,9.2000,0.0984,,Allround,Air,Chain,Carburettor,Keeway,,
124.8000,7.8000,8.9000,,99.0000,11.8000,,1258.0000,52.4000,57.8000,9.2000,0.0788,9000.0000,Custom / cruiser,Air,Chain,Carburettor,Keeway,2.9000,2018.0000
1811.0000,,150.0000,,364.0000,20.8000,692.0000,1730.0000,101.0000,113.0000,9.5000,,,Classic,Air,Belt,Injection,,3.6000,
125.0000,,9.0000,105.0000,118.0000,20.0000,778.0000,1310.0000,54.0000,54.0000,,0.0932,,Sport,Air,Chain,Injection,MH,,
1811.0000,,150.0000,,370.0000,20.8000,660.0000,1668.0000,101.0000,113.0000,9.5000,,,Custom / cruiser,Air,Belt,Injection,,3.7000,
983.3000,78.0000,88.8000,,246.0000,12.5000,643.0000,1562.0000,,,11.0000,0.3171,,Custom / cruiser,Liquid,Belt,Injection,,3.6000,2018.0000
223.0000,,17.2000,115.0000,139.0000,12.0000,800.0000,1332.0000,65.5000,66.2000,9.2000,0.1273,,Naked bike,Oil & air,Chain,Carburettor,,3.3000,
125.0000,11.2000,9.5000,100.0000,132.0000,7.2000,890.0000,1405.0000,54.0000,54.0000,,0.0848,9200.0000,Enduro / offroad,Air,Chain,Injection,,,2018.0000
124.7000,,,,142.0000,13.5000,720.0000,1435.0000,52.4000,57.8000,9.5000,,,Custom / cruiser,Air,Chain,Injection,,,2018.0000
124.8000,8.7000,9.5000,,105.0000,4.0000,785.0000,1275.0000,52.4000,57.8000,9.2000,0.0830,7000.0000,Scooter,Air,Chain,Carburettor,,3.4000,2018.0000
1187.0000,118.0000,103.6000,,210.0000,,830.0000,1490.0000,107.0000,66.0000,12.2000,0.5619,8400.0000,Super motard,Liquid,Chain,Injection,,,2018.0000
177.0000,,13.2000,,126.0000,,,1275.0000,,,,0.1032,,Allround,Air,Chain,Carburettor,Kawasaki,2.5000,
125.0000,,,100.0000,126.0000,,810.0000,1320.0000,56.5000,49.5000,9.0000,0.0745,,Allround,Air,Chain,Injection,Lexmoto,2.8000,
1133.0000,,97.0000,,247.0000,12.5000,643.0000,1562.0000,99.0000,73.6000,10.7000,,,Custom / cruiser,Liquid,Belt,Injection,Indian,3.3000,
649.0000,69.0000,64.0000,,216.1000,21.0000,840.0000,1415.0000,83.0000,60.0000,10.8000,0.3194,8500.0000,Allround,Liquid,Chain,Injection,,3.7000,2018.0000
292.4000,29.0000,17.2000,130.0000,153.0000,12.0000,780.0000,1340.0000,78.0000,61.2000,11.0000,0.1895,8500.0000,Sport,Liquid,Chain,Injection,Loncin,3.5000,2018.0000
249.0000,34.0000,21.7000,,173.0000,17.0000,,1450.0000,62.0000,41.2000,11.3000,0.1965,11500.0000,Allround,Liquid,Chain,Injection,Kawasaki,,2018.0000
1811.0000,,150.0000,,341.0000,20.8000,660.0000,1730.0000,101.6000,113.0000,9.5000,,,Custom / cruiser,Air,Belt,Injection,,3.3000,2018.0000
49.9000,,,,90.0000,12.0000,810.0000,,,,,,,Allround,Air,Chain,Injection,Mash,3.4000,2018.0000
125.0000,11.0000,9.0000,,118.0000,18.0000,777.0000,1310.0000,54.0000,54.0000,,0.0932,9000.0000,Naked bike,Air,Chain,Injection,,,2018.0000
248.8000,31.0000,24.0000,,147.0000,10.0000,820.0000,1340.0000,72.0000,61.1000,14.5000,0.2109,9000.0000,Sport,Liquid,Chain,Injection,,,2018.0000
49.6000,,3.4000,45.0000,86.2000,6.5000,770.0000,,40.0000,39.2000,12.6000,0.0405,,Scooter,Air,Belt,,Lambretta,,
1200.0000,,106.0000,,228.0000,10.6000,690.0000,1510.0000,97.6000,80.0000,10.0000,0.3377,,Classic,Liquid,Chain,Injection,,3.5000,
1050.0000,148.0000,116.6000,,192.0000,15.5000,825.0000,1445.0000,79.0000,71.4000,12.3000,0.7708,10500.0000,Naked bike,Liquid,Chain,Injection,Triumph,3.8000,2018.0000
155.0000,,13.8000,,116.0000,4.2000,765.0000,1290.0000,57.0000,58.7000,10.4000,0.1306,,Scooter,Liquid,Chain,Injection,,,
798.0000,,86.0000,245.0000,168.0000,16.6000,811.0000,1380.0000,79.0000,54.3000,13.3000,0.8333,,Naked bike,Oil & air,Chain,Injection,MV Agusta,4.2000,
249.0000,,,,103.5000,9.0000,960.0000,1482.0000,66.4000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,,
1187.0000,,105.0000,,200.0000,,830.0000,1480.0000,107.0000,66.0000,12.2000,0.5850,,Enduro / offroad,Liquid,Chain,Injection,,,
124.7000,10.1000,9.5000,,86.2000,6.5000,770.0000,1330.0000,,,10.1000,0.1167,8500.0000,Scooter,Air,Belt,Injection,,,2018.0000
1737.1000,,,,309.4000,17.0300,640.0000,1704.0000,101.0000,108.0000,9.4000,,,Custom / cruiser,Oil & air,Belt,Injection,,,
645.0000,,69.0000,185.0000,216.0000,20.0000,830.0000,1560.0000,81.0000,62.6000,11.2000,0.3194,,Super motard,Liquid,Chain,Injection,Suzuki,3.8000,
900.0000,55.0000,80.0000,,213.0000,14.3800,790.0000,1450.0000,84.6000,80.0000,10.5000,0.2582,5900.0000,Classic,Air,Chain,Injection,,,2018.0000
1215.0000,,122.0000,,242.0000,20.0000,835.0000,1530.0000,85.0000,71.4000,11.0000,0.5744,,Allround,Liquid,Shaft,Injection,Triumph,,
798.0000,140.0000,86.0000,245.0000,168.0000,16.6000,810.0000,1380.0000,79.0000,54.3000,13.3000,0.8333,13100.0000,Naked bike,Oil & air,Chain,Injection,MV Agusta,4.2000,2018.0000
645.0000,69.0000,69.0000,185.0000,213.0000,20.0600,830.0000,1560.0000,81.0000,62.6000,11.2000,0.3239,8000.0000,Super motard,Liquid,Chain,Injection,Suzuki,4.1000,2018.0000
125.0000,15.0000,,,137.0000,13.4000,830.0000,1357.0000,58.0000,47.2000,,0.1095,,Naked bike,Liquid,Chain,Injection,KTM,3.7000,2018.0000
798.0000,,83.0000,237.0000,175.0000,16.6000,830.0000,1400.0000,79.0000,54.3000,13.3000,0.6629,,Naked bike,Oil & air,Chain,Injection,,4.2000,
2294.0000,148.0000,221.0000,,334.0000,24.0000,750.0000,1695.0000,101.6000,101.6000,8.7000,0.4431,5750.0000,Custom / cruiser,Liquid,Shaft,Injection,,3.3000,2018.0000
124.2000,14.8000,10.9000,,121.0000,11.2000,880.0000,1451.0000,58.0000,47.0000,12.8000,0.1219,10500.0000,Super motard,Liquid,Chain,Injection,UM,,2018.0000
765.0000,,73.0000,,166.0000,17.4000,,1410.0000,78.0000,53.4000,12.7000,0.6687,,Naked bike,Liquid,Chain,Injection,Triumph,3.6000,
900.0000,,80.0000,,206.0000,12.1100,790.0000,1446.0000,84.6000,80.0000,10.6000,0.2670,,Naked bike,Liquid,Chain,Injection,,3.5000,
125.0000,,10.7000,,130.0000,7.5000,790.0000,1355.0000,52.4000,57.8000,,0.0856,,Scooter,Air,Belt,Injection,,,
200.0000,,,,150.0000,11.0000,735.0000,1465.0000,69.0000,53.4000,11.0000,,,Scooter,Liquid,Belt,Injection,,,
799.0000,95.0000,79.0000,,202.0000,19.0000,810.0000,1530.0000,74.0000,61.9000,11.3000,0.4703,9300.0000,Super motard,Liquid,Chain,Injection,Triumph,3.5000,2018.0000
1078.0000,,100.0000,265.0000,183.0000,23.0000,825.0000,1438.0000,79.0000,55.0000,13.0000,0.8634,,Naked bike,Oil & air,Chain,Injection,,,
249.9000,,,,103.5000,9.0000,960.0000,1482.0000,78.0000,52.3000,,,,Enduro / offroad,Liquid,Chain,Injection,,,
123.0000,,,,102.0000,13.0000,835.0000,1335.0000,56.0000,50.0000,6.2000,,,Enduro / offroad,Air,Chain,Carburettor,Suzuki,3.4000,2018.0000
798.0000,148.0000,88.0000,269.0000,173.0000,16.5000,805.0000,1380.0000,79.0000,54.3000,13.0000,0.8555,13000.0000,Sport,Liquid,Chain,Injection,MV Agusta,4.2000,2018.0000
349.7000,45.0000,,,104.5000,8.5000,960.0000,1482.0000,88.0000,57.5000,,0.4306,,Enduro / offroad,Liquid,Chain,Injection,,3.7000,2018.0000
1597.0000,,146.0000,,308.0000,22.0000,700.0000,1615.0000,103.8000,94.3000,9.7000,0.2760,,Custom / cruiser,Liquid,Belt,Injection,,3.9000,
799.0000,,79.0000,,200.0000,19.0000,760.0000,1530.0000,74.0000,61.9000,11.3000,0.4750,,Super motard,Liquid,Chain,Injection,,3.4000,
1215.0000,139.0000,122.0000,,242.0000,20.0000,835.0000,1520.0000,85.0000,71.4000,11.0000,0.5744,9300.0000,Allround,Liquid,Shaft,Injection,,,2018.0000
1811.0000,,150.0000,,370.0000,20.8000,660.0000,1668.0000,101.0000,113.0000,9.5000,,,Custom / cruiser,Air,Belt,Injection,,3.5000,2018.0000
249.9000,,,,103.5000,8.5000,960.0000,1482.0000,78.0000,52.3000,,,,Enduro / offroad,Liquid,Chain,Injection,KTM,3.3000,2018.0000
1200.0000,,105.0000,,224.0000,12.8700,790.0000,1445.0000,97.6000,80.0000,10.0000,0.3571,,Classic,Air,Chain,Injection,Triumph,3.6000,
113.7000,8.0000,7.4000,,95.0000,3.7000,745.0000,1240.0000,50.0000,57.9000,8.8000,0.0844,8000.0000,Scooter,Air,Belt,Carburettor,,3.0000,2018.0000
1200.0000,77.0000,106.0000,,228.0000,10.6000,690.0000,1510.0000,97.6000,80.0000,10.0000,0.3377,6550.0000,Classic,Air,Chain,Injection,Triumph,3.2000,2018.0000
124.7000,,9.2000,,120.0000,10.8000,760.0000,1340.0000,52.4000,57.8000,9.5000,0.0805,,Sport,Air,Chain,Injection,UM,,
1179.0000,104.0000,103.1000,,249.0000,12.8700,658.0000,1578.0000,101.0000,73.6000,10.8000,0.4177,8000.0000,Custom / cruiser,Liquid,Belt,Injection,Victory,3.2000,2018.0000
999.0000,,,,209.0000,17.0000,810.0000,1460.0000,74.5000,57.3000,12.2000,,,Sport,Liquid,Chain,Injection,Suzuki,3.1000,2018.0000
124.2000,14.8000,10.9000,,124.0000,13.0000,790.0000,1335.0000,58.0000,47.0000,12.8000,0.1190,10500.0000,Naked bike,Liquid,Chain,Injection,,,2018.0000
961.0000,80.0000,90.0000,,188.0000,17.0000,810.0000,1420.0000,88.0000,79.0000,10.0000,0.4255,6500.0000,Classic,Oil & air,Chain,Injection,Norton,,2018.0000
124.7000,,12.0000,,135.0000,10.0000,820.0000,1340.0000,58.0000,47.2000,14.5000,0.1111,,Sport,Liquid,Chain,Injection,KTM,3.2000,
153.0000,,14.0000,,126.0000,12.0000,800.0000,1335.0000,58.0000,57.9000,9.5000,0.1111,,Sport,Air,Chain,Carburettor,,,
124.7000,9.7000,9.2000,,130.0000,10.5000,790.0000,1340.0000,52.4000,57.8000,12.8000,0.0743,9500.0000,Sport,Liquid,Chain,Injection,,,2018.0000
398.0000,,38.5000,136.8000,281.0000,14.0000,780.0000,1580.0000,84.0000,72.0000,,0.1136,,Scooter,Liquid,Belt,Injection,Quadro,,
675.0000,,71.0000,260.0000,173.0000,16.5000,805.0000,1380.0000,79.0000,45.9000,12.3000,0.7399,,Naked bike,Liquid,Chain,Injection,,4.1000,
124.2000,,10.9000,,117.0000,11.2000,850.0000,1451.0000,58.0000,47.0000,12.8000,,,Enduro / offroad,Liquid,Chain,Injection,,,
1200.0000,97.0000,112.0000,,206.0000,14.5000,810.0000,1415.0000,97.6000,80.0000,11.0000,0.4709,6250.0000,Classic,Air,Chain,Injection,,3.5000,2018.0000
1050.0000,,,,205.0000,23.0000,850.0000,1560.0000,103.0000,63.0000,,0.6098,,Allround,Liquid,Chain,Injection,,3.4000,
1215.0000,139.0000,123.0000,,244.0000,20.0000,835.0000,1520.0000,85.0000,71.4000,11.0000,0.5696,9350.0000,Allround,Liquid,Shaft,Injection,,,2018.0000
168.9000,,12.5000,,86.2000,6.5000,770.0000,1330.0000,,,10.2000,0.1385,,Scooter,Air,Belt,Injection,,,
296.0000,40.0000,26.0000,,175.0000,17.0000,815.0000,1450.0000,62.0000,49.0000,10.6000,0.2285,11500.0000,Allround,Liquid,Chain,Injection,Kawasaki,3.7000,2018.0000
124.8000,,,,91.0000,9.5000,960.0000,1471.0000,54.0000,54.5000,,,,Enduro / offroad,Liquid,Chain,Carburettor,,3.6000,2018.0000
249.0000,20.5000,18.0000,,92.5000,7.0000,915.0000,1418.0000,66.4000,72.0000,,0.2216,,Enduro / offroad,Liquid,Chain,,,3.1000,2018.0000
449.3000,,,,106.0000,8.5000,960.0000,1482.0000,95.0000,63.4000,,,,Enduro / offroad,Liquid,Chain,Injection,KTM,3.4000,
799.0000,95.0000,79.0000,,208.0000,19.0000,840.0000,1545.0000,74.0000,61.9000,11.3000,0.4567,9300.0000,Super motard,Liquid,Chain,Injection,,3.1000,2018.0000
169.0000,11.8000,12.2000,95.0000,126.0000,7.5000,790.0000,1355.0000,61.0000,57.8000,,0.0937,8000.0000,Scooter,Air,Belt,Injection,Peugeot,,2018.0000
1301.0000,,,,205.0000,22.0000,835.0000,1482.0000,108.0000,71.0000,,0.8439,,Naked bike,Liquid,Chain,Injection,,3.7000,
998.0000,212.0000,115.0000,302.0000,175.0000,17.0000,830.0000,1430.0000,79.0000,50.9000,13.4000,1.2114,13600.0000,Sport,Liquid,Chain,Injection,,,2018.0000
645.0000,,62.0000,185.0000,213.0000,20.0000,835.0000,1560.0000,81.0000,62.6000,11.2000,0.3333,,Super motard,Liquid,Chain,Injection,,3.8000,
798.0000,125.0000,84.0000,245.0000,178.0000,,881.0000,1410.0000,79.0000,54.3000,,0.7022,12000.0000,Naked bike,Oil & air,Chain,Injection,,3.8000,2018.0000
510.4000,,,,106.5000,9.0000,960.0000,1482.0000,95.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,3.8000,2018.0000
293.0000,,,,103.5000,9.5000,960.0000,1482.0000,72.0000,72.0000,,,,Enduro / offroad,Liquid,Chain,Injection,,3.7000,
847.0000,,87.5000,,190.0000,18.0000,815.0000,1440.0000,78.0000,59.1000,11.5000,0.6053,,Sport,Liquid,Chain,Injection,Yamaha,1.8000,
123.6000,8.1000,9.0000,,95.0000,4.9000,755.0000,,53.5000,55.0000,9.0000,0.0847,7500.0000,Scooter,Air,Belt,Carburettor,,3.0000,2018.0000
1078.0000,,100.0000,265.0000,183.0000,23.0000,825.0000,1438.0000,79.0000,55.0000,13.0000,0.8634,,Naked bike,Oil & air,Chain,Injection,,,
113.0000,9.5000,8.1000,,103.0000,5.2000,775.0000,1270.0000,50.0000,57.8000,9.2000,0.0924,7500.0000,Scooter,Air,Belt,Carburettor,Yamaha,,2018.0000
125.0000,,9.6000,,96.0000,4.2000,750.0000,1260.0000,52.4000,57.9000,9.5000,0.0978,,Scooter,Air,Belt,Injection,Yamaha,3.7000,
125.0000,12.1000,10.0000,,153.0000,18.0000,770.0000,1550.0000,52.4000,57.8000,11.0000,0.0789,9500.0000,Allround,Liquid,Chain,Injection,,3.4000,2018.0000
112.8000,8.4000,8.8000,,98.0000,5.2000,765.0000,1250.0000,,,,0.0857,7500.0000,Scooter,Air,Belt,Injection,,,2018.0000
765.0000,123.0000,77.0000,,166.0000,17.4000,810.0000,1410.0000,78.0000,53.4000,12.7000,0.7410,11750.0000,Naked bike,Liquid,Chain,Injection,Triumph,3.7000,2018.0000
690.0000,,74.0000,,148.5000,14.0000,835.0000,1466.0000,105.0000,80.0000,,0.4916,,Naked bike,Liquid,Chain,Injection,KTM,3.3000,
50.0000,3.1000,,,95.0000,5.0000,,1280.0000,,,,0.0324,6500.0000,Scooter,Air,Belt,Carburettor,KSR,,2018.0000
155.1000,,,,116.0000,,,1350.0000,58.0000,58.7000,10.5000,,,Scooter,,Belt,Injection,,,
798.0000,,87.0000,245.0000,168.0000,16.6000,795.0000,1380.0000,79.0000,54.3000,13.3000,0.8333,,Naked bike,Oil & air,Chain,Injection,,4.0000,
49.0000,,,,92.0000,5.0000,,1280.0000,,,,0.0307,,Scooter,Air,Belt,Carburettor,,,
1737.1000,,,,306.6000,17.0300,635.0000,1646.0000,101.0000,108.0000,9.4000,,,Custom / cruiser,Oil & air,Belt,Injection,,,2018.0000
449.3000,,,,107.0000,8.5000,960.0000,1482.0000,95.0000,63.4000,,,,Enduro / offroad,Liquid,Chain,Injection,,,2018.0000
1301.0000,160.0000,140.0000,,217.0000,23.0000,890.0000,1580.0000,108.0000,75.0000,,0.7373,,Allround,Liquid,Chain,Injection,KTM,3.8000,2018.0000
803.0000,,68.0000,,170.0000,13.5000,790.0000,1445.0000,88.0000,66.0000,11.0000,0.4412,,Classic,Air,Chain,Injection,Ducati,3.8000,
125.0000,11.4000,9.5000,95.0000,127.0000,11.0000,720.0000,1360.0000,,,,0.0898,9000.0000,Allround,,Chain,Injection,,,2018.0000
124.0000,,8.2000,,122.0000,7.0000,775.0000,,57.0000,48.6000,11.5000,0.0787,,Scooter,Air,Belt,Injection,,,
803.0000,75.0000,68.0000,,191.0000,13.5000,840.0000,1505.0000,88.0000,66.0000,11.0000,0.3927,8250.0000,Enduro / offroad,Air,Chain,Injection,,3.8000,2017.0000
249.0000,21.0000,19.5000,128.8000,130.0000,12.0000,780.0000,,,,,0.1615,,Classic,,Chain,Carburettor,,,2017.0000
1198.4000,,136.0000,,208.0000,20.0000,825.0000,1529.0000,106.0000,67.9000,12.5000,0.7692,,Allround,Liquid,Chain,Injection,Ducati,4.1000,
1201.3000,,96.0000,,255.0000,2.8000,676.0000,1530.0000,88.9000,96.8000,10.0000,0.2667,,Custom / cruiser,Air,Belt,Injection,,3.1000,
896.1000,,90.0000,,193.0000,15.0000,810.0000,1440.0000,92.0000,64.1000,11.0000,0.4933,,Naked bike,Liquid,Chain,Injection,,3.5000,
499.0000,,41.3000,,175.0000,14.5000,,1370.0000,84.0000,90.0000,8.5000,0.1554,,Classic,Air,Chain,Injection,Enfield,,
249.0000,,23.0000,145.0000,144.0000,11.0000,790.0000,1384.0000,73.0000,59.5000,10.4000,0.1676,,Sport,Oil & air,Chain,Injection,Zontes,3.2000,
1198.4000,150.0000,126.2000,,187.0000,16.5000,830.0000,1508.0000,106.0000,67.9000,13.0000,0.8021,9250.0000,Naked bike,Liquid,Chain,Injection,Ducati,,2017.0000
125.0000,,9.5000,90.0000,115.0000,9.0000,720.0000,1240.0000,56.5000,49.5000,,0.0991,,Allround,,Chain,Carburettor,Yuki,,
491.6000,,40.0000,,206.4000,13.2500,653.0000,1534.0000,69.1000,66.0000,11.0000,,,Custom / cruiser,Liquid,Belt,Injection,,3.3000,2017.0000
1285.0000,,144.6000,,166.5000,17.0000,830.0000,1437.0000,116.0000,60.8000,12.6000,1.2312,,Sport,Liquid,Chain,Injection,,3.3000,
1285.0000,,146.5000,,156.0000,17.0000,830.0000,1511.0000,116.0000,67.9000,12.5000,1.3782,,Naked bike,Liquid,Chain,Injection,,3.7000,
1198.4000,,130.5000,,205.0000,17.0000,770.0000,1590.0000,106.0000,67.9000,12.5000,0.7902,,Naked bike,Liquid,Chain,Injection,,3.5000,
312.0000,34.9000,30.0000,160.0000,145.0000,15.0000,795.0000,1390.0000,80.0000,62.0000,12.5000,0.2405,9500.0000,Naked bike,Liquid,Chain,Injection,,3.3000,2018.0000
124.6000,8.1000,8.4000,,95.0000,8.0000,,,52.4000,57.8000,9.2000,0.0847,7500.0000,Scooter,,Belt,Carburettor,Znen,,2018.0000
399.0000,52.3000,38.0000,,195.0000,18.0000,755.0000,1560.0000,55.0000,42.0000,11.3000,0.2682,10500.0000,Naked bike,Liquid,Chain,Injection,Honda,3.4000,2017.0000
109.1000,,8.7000,84.0000,103.0000,5.3000,765.0000,1260.0000,50.0000,55.6000,9.5000,0.0777,,Scooter,Air,Belt,Carburettor,,,
1202.0000,,96.0000,,247.0000,7.9000,710.0000,1495.0000,88.9000,96.8000,9.7000,0.2713,,Custom / cruiser,Air,Belt,Injection,,3.0000,
249.0000,21.0000,19.5000,,130.0000,12.0000,780.0000,,,,,0.1615,,Enduro / offroad,Air,Chain,Carburettor,,,2017.0000
1285.0000,205.0000,144.6000,,164.0000,17.0000,830.0000,1437.0000,116.0000,60.8000,12.6000,1.2500,10500.0000,Sport,Liquid,Chain,Injection,Ducati,3.4000,2017.0000
249.0000,,19.5000,128.8000,130.0000,12.0000,780.0000,,,,,0.1615,,Classic,,Chain,Carburettor,Herald,3.2000,
937.0000,113.0000,96.7000,,183.0000,16.0000,810.0000,1478.0000,94.0000,67.5000,12.6000,0.6175,9000.0000,Sport,Liquid,Chain,Injection,Ducati,3.5000,2017.0000
471.0000,,43.0000,,173.4000,15.7000,790.0000,1410.0000,67.0000,66.8000,10.7000,0.2707,,Naked bike,Liquid,Chain,Injection,,3.0000,
1285.0000,205.0000,144.6000,,166.5000,17.0000,830.0000,1437.0000,116.0000,60.8000,12.6000,1.2312,10500.0000,Sport,Liquid,Chain,Injection,,3.2000,2017.0000
1262.0000,156.0000,128.9000,,235.0000,17.0000,755.0000,1615.0000,106.0000,71.5000,13.0000,0.6638,9500.0000,Naked bike,Liquid,Belt,Injection,,,2017.0000
883.3000,52.3000,73.0000,,245.0000,17.0300,648.0000,1501.0000,76.2000,96.8000,9.0000,0.2135,5750.0000,Custom / cruiser,Air,Belt,Injection,,,2017.0000
399.0000,45.4000,37.0000,,182.0000,15.0000,785.0000,1410.0000,67.0000,56.6000,11.0000,0.2495,9500.0000,Sport,Liquid,Chain,Injection,Honda,,2017.0000
49.5000,,3.0000,45.0000,81.0000,5.4000,,,,,10.2000,,,Scooter,,Belt,Carburettor,,,2018.0000
279.0000,,26.0000,,201.0000,12.0000,755.0000,1540.0000,68.0000,68.5000,10.2000,0.1268,,Scooter,Liquid,Belt,Injection,,3.2000,
49.9000,,,,96.0000,7.0000,865.0000,1413.0000,39.9000,40.0000,11.5000,,,Super motard,Liquid,Chain,Carburettor,Derbi,3.1000,
803.0000,75.0000,68.0000,,170.0000,13.5000,790.0000,1445.0000,88.0000,66.0000,11.0000,0.4412,8250.0000,Classic,Air,Chain,Injection,,3.6000,2017.0000
